Cultivar,Media,Pottasium,Nitrate,Ammonium,Calcium,Clorine,Magnisium,Phosphate,Sulphate,BA,Shoots,Shoot_length,Productivity
Helena,WPM,12.61,9.71,5,3.01,1.31,1.5,1.25,7.56,1.78,3.14,13.17,38.24
Helena,MS,20.04,39.41,20.61,2.99,5.99,1.5,1.25,1.88,1.78,2.75,13.69,34.83
Helena,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,0.88,2.33,17.24,33.15
Helena,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,1.78,3.5,13.31,47.14
Helena,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,2.66,4.78,12.92,58.61
Helena,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,3.55,5.54,12.26,62.22
Helena,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,4.44,6.67,12.33,79.25
Helena,M1,20.04,23.79,5,2.99,5.99,1.5,2.5,1.88,0.88,2.83,15.4,42.86
Helena,M1,20.04,23.79,5,2.99,5.99,1.5,2.5,1.88,1.78,3.39,13.41,42.33
Helena,M1,20.04,23.79,5,2.99,5.99,1.5,2.5,1.88,2.66,4.5,11.77,50.22
Helena,M1,20.04,23.79,5,2.99,5.99,1.5,2.5,1.88,3.55,4.56,12.31,53.67
Helena,M1,20.04,23.79,5,2.99,5.99,1.5,2.5,1.88,4.44,4.78,11.93,55.6
Helena,M2,2.5,16.53,9.99,4.58,2.61,3,2.5,3.38,1.78,2.67,13.96,34.72
Helena,M3,9.97,23.71,2.3,5.78,0,3.34,0.79,3.38,1.78,3.28,12.49,38.86
Lorna,WPM,12.61,9.71,5,3.01,1.31,1.5,1.25,7.56,1.78,4.55,14.42,61.37
Lorna,MS,20.04,39.41,20.61,2.99,5.99,1.5,1.25,1.88,1.78,3.29,12.33,38.58
Lorna,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,0.88,1.67,15.9,24.86
Lorna,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,1.78,4.38,17.25,72.54
Lorna,QL,19.79,32.96,5,5.08,0,1.46,1.98,1.84,2.66,3.89,12.66,47.82
